,model_id,grade_id,grade_name,price,desc
0,0,0,GR SPORT,2659000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
1,0,1,G,2294000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
2,0,2,Z Raffine,2667000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
3,0,3,X,2146000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
4,0,4,Z,2763000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
5,0,5,Z Raffine,2837000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
6,0,6,Z,2565000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
7,0,7,X,2344000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
8,0,8,G,2492000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
9,1,0,G Z,2728100,ガソリン／2.0L／CVT／2WD　FF／定員 5名
10,1,1,HYBRID G,2726500,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
11,1,2,HYBRID G X,2470000,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
12,1,3,G X,2210000,ガソリン／2.0L／CVT／2WD　FF／定員 5名
13,1,4,G,2476500,ガソリン／2.0L／CVT／2WD　FF／定員 5名
14,1,5,HYBRID G Z,2978100,ハイブリッド／1.8L／CVT／2WD　FF／定員 5名
15,2,0,HYBRID Z,2694000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
16,2,1,X,1501000,ガソリン／1.0L／CVT／2WD　FF／定員 5名
17,2,2,HYBRID X,2044000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
18,2,3,X (6MT),1579000,ガソリン／1.5L／MT／2WD　FF／定員 5名
19,2,4,Z (6MT),2050000,ガソリン／1.5L／MT／2WD　FF／定員 5名
20,2,5,HYBRID Z,2496000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
21,2,6,Z,2154000,ガソリン／1.5L／CVT／2WD　FF／定員 5名
22,2,7,X,1655000,ガソリン／1.5L／CVT／2WD　FF／定員 5名
23,2,8,G,1799000,ガソリン／1.0L／CVT／2WD　FF／定員 5名
24,2,9,G (6MT),1877000,ガソリン／1.5L／MT／2WD　FF／定員 5名
25,2,10,X,1888000,ガソリン／1.5L／CVT／4WD／定員 5名
26,2,11,HYBRID X,2287000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
27,2,12,G,1953000,ガソリン／1.5L／CVT／2WD　FF／定員 5名
28,2,13,HYBRID G,2507000,ハイブリッド／1.5L／CVT／E-Four／定員 5名
29,2,14,HYBRID G,2299000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
30,2,15,Z,2352000,ガソリン／1.5L／CVT／4WD／定員 5名
31,2,16,G,2151000,ガソリン／1.5L／CVT／4WD／定員 5名
32,3,0,カスタムG,2100000,ガソリン／1.0L／CVT／4WD／定員 5名
33,3,1,カスタムG,1924000,ガソリン／1.0L／CVT／2WD　FF／定員 5名
34,3,2,X,1566500,ガソリン／1.0L／CVT／2WD　FF／定員 5名
35,3,3,G,1753500,ガソリン／1.0L／CVT／2WD　FF／定員 5名
36,3,4,G-T,1874500,ガソリン／1.0L／CVT／2WD　FF／定員 5名
37,3,5,X,1742500,ガソリン／1.0L／CVT／4WD／定員 5名
38,3,6,G,1929500,ガソリン／1.0L／CVT／4WD／定員 5名
39,3,7,カスタムG-T,2056000,ガソリン／1.0L／CVT／2WD　FF／定員 5名
40,4,0,Z,5400000,ガソリン／2.5L／CVT／2WD　FF／定員 7名
41,4,1,HYBRID Z,6200000,ハイブリッド／2.5L／CVT／2WD　FF／定員 7名
42,4,2,HYBRID Z,6420000,ハイブリッド／2.5L／CVT／E-Four／定員 7名
43,4,3,HYBRID Executive Lounge,8720000,ハイブリッド／2.5L／CVT／E-Four／定員 7名
44,4,4,Z,5598000,ガソリン／2.5L／CVT／4WD／定員 7名
45,4,5,HYBRID Executive Lounge,8500000,ハイブリッド／2.5L／CVT／2WD　FF／定員 7名
46,5,0,HYBRID Z Premier,6900000,ハイブリッド／2.5L／CVT／2WD　FF／定員 7名
47,5,1,HYBRID Z Premier,7120000,ハイブリッド／2.5L／CVT／E-Four／定員 7名
48,5,2,HYBRID Executive Lounge,8920000,ハイブリッド／2.5L／CVT／E-Four／定員 7名
49,5,3,Z Premier,6748000,ガソリン／2.4L／AT／4WD／定員 7名
50,5,4,HYBRID Executive Lounge,8700000,ハイブリッド／2.5L／CVT／2WD　FF／定員 7名
51,5,5,Z Premier,6550000,ガソリン／2.4L／AT／2WD　FF／定員 7名
52,6,0,HYBRID S-Z 7人乗り,3960000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
53,6,1,S-Z 7人乗り,3390000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
54,6,2,HYBRID S-G 7人乗り,3440000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
55,6,3,HYBRID S-G 8人乗り,3440000,ハイブリッド／1.8L／CVT／2WD　FF／定員 8名
56,6,4,S-G 7人乗り,3090000,ガソリン／2.0L／CVT／2WD　FF／定員 7名
57,6,5,HYBRID S-G 7人乗り,3660000,ハイブリッド／1.8L／CVT／E-Four／定員 7名
58,6,6,S-Z 7人乗り,3588000,ガソリン／2.0L／CVT／4WD／定員 7名
59,6,7,HYBRID S-Z 7人乗り,3740000,ハイブリッド／1.8L／CVT／2WD　FF／定員 7名
60,6,8,S-G 8人乗り,3090000,ガソリン／2.0L／CVT／2WD　FF／定員 8名
61,6,9,S-G 7人乗り,3288000,ガソリン／2.0L／CVT／4WD／定員 7名
62,6,10,S-G 8人乗り,3288000,ガソリン／2.0L／CVT／4WD／定員 8名
63,7,0,HYBRID Z 5人乗り,2996600,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
64,7,1,HYBRID Z 7人乗り,3234600,ハイブリッド／1.5L／CVT／E-Four／定員 7名
65,7,2,HYBRID Z 5人乗り,3194600,ハイブリッド／1.5L／CVT／E-Four／定員 5名
66,7,3,HYBRID X 5人乗り,2390000,ハイブリッド／1.5L／CVT／2WD　FF／定員 5名
67,7,4,X 5人乗り,1995200,ガソリン／1.5L／CVT／2WD　FF／定員 5名
